Path,Type,Tracked in Git?,Produced By / Role,Consumed By,Confidentiality,Notes
TECHNICAL_REPORT.md,Manuscript,Yes,Author (draft paper),Public readers; arXiv target,Public,The document under audit.
METHODOLOGY.md,Documentation,Yes,Author,Public readers,Public,"Public-vs-confidential boundary statement; the real-vs-synthetic comparison table (matches C21-C24)."
README.md,Documentation,Yes,Author,Public readers (repo landing page),Public,Folder map does not list data_verification_audit.md at repo root — see Audit finding A5.
STATE.md,Documentation,Yes (modified, uncommitted at audit time),Author (session handoff notes),Future sessions / author,Public,"Contains the stale ""17 untracked architecture docs"" claim (Audit finding A1) and the unsourced ""~55,394"" figure (Audit finding A2)."
ROADMAP.md,Documentation,No (untracked at audit time),Author (arXiv prep plan),Future sessions / author,Public (once committed),Defines this Phase A audit's scope; also carries the same untracked/unsourced claims as STATE.md.
data_verification_audit.md,Documentation,Yes,"Author, from an internal pre-publication numbers check",TECHNICAL_REPORT.md and METHODOLOGY.md (both cite it as authoritative),Public,"The single most load-bearing numbers reference in the repo, but not linked from README.md or docs/INDEX.md — orphaned from navigation. Contains its own internal-contradiction note (0.7454 vs 0.695)."
docs/INDEX.md,Documentation,Yes,Author,Navigation entry point,Public,Does not link data_verification_audit.md.
docs/Context.md,Documentation,Yes,Author,Background reading,Public,Not read in full for this audit (out of the 9 files named in scope); flagged only for completeness.
docs/Phases.md,Documentation,Yes,Author,Background reading,Public,Not read in full for this audit; flagged only for completeness.
docs/PHASE2_PLAN.md,Documentation,Yes,Author,Phase 2 implementation plan,Public,Not read in full for this audit; flagged only for completeness.
docs/demo/index.html,Interactive demo,Yes (per STATE.md; not independently verified in this audit),p2_07_demo_data.py + hand-authored HTML,Stakeholder/public demo viewers,Public (anonymized production trace),Cites the same production numbers as §3.1; not re-verified line-by-line in this audit.
RESEARCH_NOTEBOOK.md,Working notes,No (gitignored; self-declared local-only),Author (positioning brainstorm),Author only,Confidential/local,"Self-consistent with its own claim of being untracked. Feeds Phase C positioning, not cited as evidence anywhere."
BUILD_PLAN.md,Planning doc,Yes,Author,Author,Public,Predates the public-export cleanup; not read in full for this audit.
synthetic_data_plan.md,Planning doc,Yes,Author,scripts/00_generate_synthetic.py design,Public,Not read in full for this audit.
architecture/00_SCOPE.md,Architecture doc,Yes,Author,Phase 2 design,Public,Package index for the 17-doc set; confirms count of 17.
architecture/01_EXECUTIVE_SUMMARY.md,Architecture doc,Yes,Author,Manager/client audience,Public,Not read in full for this audit.
architecture/02_REQUIREMENTS.md,Architecture doc,Yes,Author,Phase 2 design,Public,Not read in full for this audit.
architecture/03_NON_FUNCTIONAL_REQUIREMENTS.md,Architecture doc,Yes,Author,Phase 2 design,Public,Not read in full for this audit.
architecture/04_DOMAIN_MODEL.md,Architecture doc,Yes,Author,Phase 2 design,Public,Not read in full for this audit.
architecture/05_SERVICE_ARCHITECTURE.md,Architecture doc,Yes,Author,Phase 2 design,Public,Not read in full for this audit.
architecture/06_EVENT_DRIVEN_WORKFLOW.md,Architecture doc,Yes,Author,Phase 2 design,Public,Not read in full for this audit.
architecture/07_DATA_SCHEMA.md,Architecture doc,Yes,Author,Phase 2 design,Public,Not read in full for this audit.
architecture/08_CONFIDENCE_CASCADE.md,Architecture doc,Yes,Author,Cascade spec — TECHNICAL_REPORT §2.4,Public,Read in full for this audit; matches confidence.py constants (C18).
architecture/09_AI_ORCHESTRATION.md,Architecture doc,Yes,Author,TECHNICAL_REPORT §2.5,Public,Not read in full; referenced by §2.5 for the embedding-layer gap.
architecture/10_API_CONTRACTS.md,Architecture doc,Yes,Author,Phase 2 design,Public,Not read in full for this audit.
architecture/11_SEQUENCE_PETROMAX.md,Architecture doc,Yes,Author,Worked-example sequence diagram,Public,Anonymized per METHODOLOGY.md item 4 (was 11_SEQUENCE_ROMPETROL.md).
architecture/12_SECURITY_COMPLIANCE.md,Architecture doc,Yes,Author,Phase 2 design,Public,Not read in full for this audit.
architecture/13_OBSERVABILITY.md,Architecture doc,Yes,Author,Phase 2 design,Public,Not read in full for this audit.
architecture/14_COST_MODEL.md,Architecture doc,Yes,Author,Phase 2 design; ROI figures (OPEN-Q17/18),Public,Not read in full for this audit; not cited in TECHNICAL_REPORT.md.
architecture/DECISIONS.md,Architecture doc,Yes,Author,16 ADRs — TECHNICAL_REPORT throughout,Public,Read in full. All 16 ADRs present and consistent with report claims.
architecture/OPEN_QUESTIONS.md,Architecture doc,Yes,Author,20 unconfirmed items,Public,Read in full. No conflicts found with TECHNICAL_REPORT.md claims (report doesn't cite anything from here).
