"CitationID","Paper","Authors","Year","Venue","DOI","URL","ResearchFamily","WhyRelevant","PrimaryEvidence","Verified","Notes"
"B1-01","The Algorithm Selection Problem","J.R. Rice","1976","Advances in Computers, vol. 15","10.1016/S0065-2458(08)60520-3","https://doi.org/10.1016/S0065-2458(08)60520-3","B1","Selects one algorithm per instance via an abstract feature mapping; no design-time whole-architecture choice, no historical determinism metric, no human loop.","Abstract / introduction","VERIFIED","Confirmed via ScienceDirect publisher page; cross-confirmed via Semantic Scholar/OpenAlex."
"B1-02","SATzilla: Portfolio-based Algorithm Selection for SAT","Xu, Hutter, Hoos, Leyton-Brown","2008","JAIR","10.1613/jair.2490","https://doi.org/10.1613/jair.2490","B1","Predicts per-instance solver runtime via regression on instance features; not label-consistency, not a whole-architecture choice.","Abstract","VERIFIED","FastTrack get_paper verified; cross-confirmed via JAIR's own OA PDF link."
"B1-03","Algorithm runtime prediction: Methods & evaluation","Hutter, Xu, Hoos, Leyton-Brown","2014","Artificial Intelligence, vol. 206","10.1016/j.artint.2013.10.003","https://doi.org/10.1016/j.artint.2013.10.003","B1","Predicts continuous runtime, not label-consistency; no architecture-selection step and no human-in-the-loop.","Abstract","VERIFIED","FastTrack search result cross-checked against ScienceDirect OA PDF link."
"B1-04","Algorithm Selection for Combinatorial Search Problems: A Survey","Lars Kotthoff","2014","AI Magazine, vol. 35(3)","10.1609/aimag.v35i3.2460","https://doi.org/10.1609/aimag.v35i3.2460","B1","Surveys per-instance selection among interchangeable solvers; never covers dataset-level design-time architecture-composition decisions.","Abstract; criteria section","VERIFIED","FastTrack result + Scholar Gateway cross-listing; OA PDF confirmed at aaai.org."
"B1-05","Automated Algorithm Selection: Survey and Perspectives","Kerschke, Hoos, Neumann, Trautmann","2019","Evolutionary Computation, vol. 27(1)","10.1162/evco_a_00242","https://doi.org/10.1162/evco_a_00242","B1","Most authoritative recent survey of Rice's lineage; stays within per-instance single-algorithm selection, never addresses dataset-level whole-architecture decisions.","Abstract; Sections 2-4","VERIFIED","Confirmed via MIT Press Direct publisher page; cross-checked against ACM DL and DBLP."
"B2-01","Cross-disciplinary perspectives on meta-learning for algorithm selection","Kate Smith-Miles","2009","ACM Computing Surveys, vol. 41(1)","10.1145/1456650.1456656","https://doi.org/10.1145/1456650.1456656","B2","Foundational unification of meta-learning with Rice 1976; stays at single-algorithm-per-instance recommendation, never proposes design-time dataset-level whole-architecture selection, a determinism metric, or human feedback.","Abstract (quoted verbatim by search agent)","VERIFIED","FastTrack get_paper verified (OpenAlex record, ACM Computing Surveys)."
"B2-02","Eight years of AutoML: categorisation, review and trends","Barbudo, Ventura, Romero","2023","Knowledge and Information Systems, vol. 65(12)","10.1007/s10115-023-01935-1","https://doi.org/10.1007/s10115-023-01935-1","B2","Documents the field's shift from single-algorithm selection to automated performance-optimized workflow-composition search; this is a black-box optimized search over configurations, not a historical-label-consistency-driven qualitative architecture decision.","Abstract (verified verbatim quote)","VERIFIED","Double-verified: FastTrack get_paper full abstract + independent WebSearch confirming DOI/venue via Springer listing and KDIS group page."
"B2-03","Auto-WEKA: Combined Selection and Hyperparameter Optimization of Classification Algorithms","Thornton, Hutter, Hoos, Leyton-Brown","2013","KDD '13","10.1145/2487575.2487629","https://doi.org/10.1145/2487575.2487629","B2","Design-time search optimizing cross-validated task performance via Bayesian search; not historical-label-consistency-driven, produces a (classifier, hyperparameters) pair not a qualitative architecture choice.","Abstract; KDD 2023 Test-of-Time Award materials","VERIFIED","Confirmed via ACM DL listing, UBC CS news article, automl.org KDD 2023 Test-of-Time award materials."
"B2-04","Efficient and Robust Automated Machine Learning (Auto-sklearn)","Feurer, Klein, Eggensperger, Springenberg, Blum, Hutter","2015","NeurIPS 28","","https://papers.nips.cc/paper/5872-efficient-and-robust-automated-machine-learning","B2","Historical evidence here is cross-dataset meta-feature similarity used to warm-start a performance-search process, not per-item label-consistency used to threshold a qualitative architecture choice.","Abstract; Section 3","VERIFIED","Confirmed via official NeurIPS proceedings page and archived PDF at proceedings.neurips.cc."
"B2-05","Meta-features for meta-learning","Rivolli, Garcia, Soares, Vanschoren, de Carvalho","2022","Knowledge-Based Systems, vol. 240","10.1016/j.knosys.2021.108101","https://doi.org/10.1016/j.knosys.2021.108101","B2","Catalogs dataset-level meta-features for algorithm recommendation; the full taxonomy contains nothing resembling ADS's specific per-item 'count of most common label / total occurrences' determinism score.","Abstract; full taxonomy sections","VERIFIED","FastTrack get_paper verified; OA PDF confirmed at sciencedirect.com."
"B2-06","Meta-Learning (book chapter)","Joaquin Vanschoren","2019","in Automated Machine Learning (Hutter, Kotthoff, Vanschoren, eds.), Springer","10.1007/978-3-030-05318-5_2","https://doi.org/10.1007/978-3-030-05318-5_2","B2","Same genus-level distinction as other meta-learning papers: task-performance-driven recommendation vs. label-consistency-driven architecture decision.","Chapter abstract/introduction","VERIFIED","FastTrack search result; Springer open-access chapter PDF link confirmed in record."
"B2-07","Meta-learning and the new challenges of machine learning","Monteiro, Ramos, Carneiro, Duarte, Fernandes, Novais","2021","International Journal of Intelligent Systems, vol. 36(11)","10.1002/int.22549","https://doi.org/10.1002/int.22549","B2","Independently proposes a two-phase (design-time selection + runtime adaptation) structure analogous in SHAPE to ADS-Cascade's Part 1 / Part 2 split, but the runtime phase handles concept-drift-driven retraining, not confidence-tiered human escalation.","Problem Statement section","VERIFIED","Scholar Gateway semanticSearch record with full metadata (Wiley) cross-matched against retrieved abstract text."
"B2-08","Whither AutoML? Understanding the Role of Automation in Machine Learning Workflows","Xin, Wu, Lee, Chow, Parameswaran, Hellerstein","2021","CHI '21","10.1145/3411764.3445306","https://doi.org/10.1145/3411764.3445306","B2","Argues qualitatively/normatively for human-AutoML partnership based on user-study findings; no confidence-tiered cascade, no auto-apply/spot-check/escalate/manual-entry tiers, no historical-determinism-driven feedback loop.","Abstract","VERIFIED","FastTrack search result; ACM DL OA PDF confirmed in record."
"B2-09","Towards human-guided machine learning","Gil, Honaker, Gupta, Ma, D'Orazio, Garijo, Gadewar, Yang, Jahanshad","2019","IUI '19","10.1145/3301275.3302324","https://doi.org/10.1145/3301275.3302324","B2","Proposes human-in-the-loop guidance of the AutoML search process itself (steering which hypotheses are explored), not confidence-based per-item routing/escalation at inference time; no determinism-based design-time architecture decision.","Abstract","VERIFIED","FastTrack search result; ACM DL OA PDF link confirmed in record."
"B2-10","On learning algorithm selection for classification","Shawkat Ali, Kate A. Smith","2006","Applied Soft Computing, vol. 6(2)","","","B2","Meta-features predict best-performing classifier; this is ML-algorithm-vs-ML-algorithm selection, not a rules-vs-embedding-vs-LLM mechanism-class choice.","Abstract","UNVERIFIED-PARTIAL","Consensus + WebSearch cross-reference confirm authors/venue/volume/pages; exact DOI not independently pinned down. Medium confidence."
"B2-11","A Literature Survey and Empirical Study of Meta-Learning for Classifier Selection","Khan, Zhang, Rehman, Ali","2020","IEEE Access, vol. 8","10.1109/ACCESS.2020.2964726","https://doi.org/10.1109/ACCESS.2020.2964726","B2","Closest match found in the entire sweep to 'measure historical/observed evidence once, then pick an architecture before serving traffic, outside databases' -- but selects a generic ML algorithm via statistical meta-features, not a rules/embedding/LLM mechanism class via label-consistency.","Abstract; meta-features/meta-learner/meta-target framework","VERIFIED","Confirmed via IEEE Xplore document page and Middlesex University institutional repository record."
"B3-01","Adaptive-RAG: Learning to Adapt Retrieval-Augmented Large Language Models through Question Complexity","Jeong, Baek, Cho, Hwang, Park","2024","NAACL 2024","10.18653/v1/2024.naacl-long.389","https://doi.org/10.18653/v1/2024.naacl-long.389","B3","Complexity signal is a PREDICTED per-query property from a trained classifier, not an empirically observed historical label-consistency statistic; decision is purely per-query runtime routing, never a one-time whole-system architecture choice.","Abstract; Section 3","VERIFIED","FastTrack get_paper/search_papers verified; DOI resolves via ACL Anthology."
"B3-02","FrugalGPT: How to Use Large Language Models While Reducing Cost and Improving Performance","Chen, Zaharia, Zou","2023 (preprint) / 2024 (journal)","Transactions on Machine Learning Research (TMLR)","","https://arxiv.org/abs/2305.05176","B3","Cascade is composed and tuned to optimize a cost/accuracy tradeoff across LLM API calls using historical accuracy data; ADS-Cascade's cascade routes on classification/OCR confidence toward human review with a structurally distinct permanent-promotion feedback loop, and FrugalGPT never involves a human at all.","Section 3 ('LLM cascade')","VERIFIED","FastTrack search result verified; TMLR publication confirmed via dblp journals/tmlr record."
"B3-03","Adaptive Computation Time for Recurrent Neural Networks","Alex Graves","2016","arXiv preprint","","https://arxiv.org/abs/1603.08983","B3","Allocates continuous compute depth within one homogeneous model via a learned internal signal; does not route between discrete heterogeneous components, uses no historical/observed label-consistency evidence, no design-time architecture-selection step, no human-in-the-loop.","Abstract; Section 2","VERIFIED-PREPRINT","Confirmed via arxiv.org preprint page; no formal peer-reviewed venue found despite wide citation."
"B3-04","Early-Exit Deep Neural Network -- A Comprehensive Survey","Rahmath P, Srivastava, Chaudhary, et al.","2024","ACM Computing Surveys","","","B3","Routes within one model's own layers using live inference-time confidence; ADS-Cascade routes across a heterogeneous system using two independently-tracked confidence signals plus historical-evidence-informed routing, never using model internals as the exit signal.","Abstract","UNVERIFIED","NOT independently verified beyond a Consensus search snippet -- venue/authorship plausible for a 2024 ACM CSUR survey but DOI not separately resolved."
"B3-05","RouteLLM: Learning to Route LLMs with Preference Data","Ong, Almahairi, Wu, Chiang, Wu, Gonzalez, Kadous, Stoica","2024 (preprint) / 2025 (ICLR)","ICLR 2025","","https://arxiv.org/abs/2406.18665","B3","Routing signal is trained on human preference/response-quality data (which model wins), not on empirically observed historical label-consistency for the same recurring item; no design-time whole-architecture decision, no human runtime escalation tier.","Abstract","VERIFIED","Confirmed via arxiv.org preprint page; secondary confirmation of ICLR 2025 acceptance via HuggingFace papers page."
"B3-06","Large Language Model Cascades with Mixture of Thoughts Representations for Cost-efficient Reasoning","Yue, Zhao, Zhang, Du, Yao","2023","arXiv preprint","","","B3","'Answer consistency' is a live, per-query self-agreement measure (sample the same model N times right now), conceptually close to ADS-Cascade's Tier-1 'near-unanimous match' idea, but computed from live generation sampling rather than a historical record of repeated human labeling of the same item across time.","Abstract","UNVERIFIED-PARTIAL","Confirmed via Consensus search result cross-checked against duplicate arXiv listing; independent DOI not separately resolved. Moderate confidence."
"B3-07","Dynamic Model Routing and Cascading for Efficient LLM Inference: A Survey","Yasmin Moslem et al.","2026","arXiv preprint","","","B3","This survey's own three-axis taxonomy ('when decisions are made, what information is used, how they are computed') is the closest published framing to ADS-Cascade's own design-time/runtime decomposition -- but applied to LLM-only routing, not a rules/ML/LLM mechanism-class decision, and not tied to a historical-determinism metric.","Abstract (three-dimensional taxonomy)","UNVERIFIED","NOT independently verified beyond a Consensus search snippet -- flag low-to-medium confidence on exact author list/DOI for a 2026-dated preprint."
"B7-01","From Auto-tuning One Size Fits All to Self-designed and Learned Data-intensive Systems","Idreos, Kraska","2019","SIGMOD '19 (tutorial/survey)","10.1145/3299869.3314034","https://doi.org/10.1145/3299869.3314034","B7","Idreos & Kraska's vision is continuous, self-adapting design driven by workload/query FREQUENCY statistics; ADS-Cascade's Part 1 is a single, one-time, pre-deployment gate driven by historical LABEL-CONSISTENCY (ground-truth agreement) -- a different evidence type and a one-shot rather than continuously-adapting decision.","Abstract; Section 1","VERIFIED","FastTrack search_papers verified; DOI confirmed resolves to ACM SIGMOD 2019 record. NOTE: an initial DOI guess (...3314033) resolved to a DIFFERENT SIGMOD'19 paper (Faloutsos et al.) and was corrected."
"B7-02","Database Cracking","Idreos, Kersten, Manegold","2007","CIDR 2007","","https://cidrdb.org/cidr2007/papers/cidr07p07.pdf","B7","Opposite temporal philosophy to ADS-Cascade's one-time pre-deployment gate: cracking explicitly rejects any upfront design-time decision in favor of continuous incremental reorganization with zero pre-deployment analysis phase.","Abstract","VERIFIED","Confirmed via conference page and Harvard faculty publication page; corroborated as CIDR Test-of-Time Award winner via CWI news."
"B7-03","The Case for Learned Index Structures","Kraska, Beutel, Chi, Dean, Polyzotis","2018","SIGMOD '18","10.1145/3183713.3196909","https://doi.org/10.1145/3183713.3196909","B7","Trains a model once from the data distribution to become the index component itself -- design-time, one-time, driven by observed data, structurally similar in temporal shape to ADS-Cascade -- but the measured property is key-distribution smoothness/learnability, not label-consistency, and the decision selects a component-level model, not a whole system's architecture/composition.","Abstract; Section 3","VERIFIED","FastTrack get_paper verified; DOI resolves to ACM DL, open-access PDF confirmed."
"B7-04","Automatic Database Management System Tuning Through Large-scale Machine Learning (OtterTune)","Van Aken, Pavlo, Gordon, Zhang","2017","SIGMOD '17","10.1145/3035918.3064029","https://doi.org/10.1145/3035918.3064029","B7","Historical evidence is workload/performance telemetry across past deployments used to select hyperparameters, not label-consistency of individual data items used to select architecture/composition -- a strong structural cousin (measure-once-before-serving) but at the configuration-knob grain, not the 'which overall system design' grain ADS-Cascade Part 1 targets.","Abstract","VERIFIED","FastTrack get_paper verified; DOI resolves to ACM DL, open-access PDF confirmed."
