ID,Claim,PreExp1Status(PhaseB/C),AffectedByExp1/D1,PostGate4Status,Rationale
C1,ADS as a novel metric,REJECTED,No,REJECTED,"Mathematically identical to cluster purity (Manning et al. 2008; Amigo et al. 2009) and the majority-vote-agreement baseline (Dawid & Skene 1979 lineage); Exp1 tests usefulness, not formula originality"
C2,Design-time architecture selection - general pattern,CHALLENGED,No,CHALLENGED,"Rice 1976 ASP, Barbudo et al. 2023 workflow composition, Idreos & Kraska 2019 self-designed systems; Exp1 tests only the narrower C2b instance"
C2b,Label-consistency evidence -> qualitative mechanism-class choice,PARTIALLY_SUPPORTED/untested,Yes,CONDITIONAL,"Unconditional form falsified in realized ADS >=0.90 band under lexical noise (0/18 exceptionless); narrower conditional form (predicts difficulty not ranking; ranking governed by orthogonal representation-stability factor) is evidence-supported - see CONTRIBUTION_LOCK.md Sec.6"
C3,Runtime multi-tier confidence cascade - general pattern,CHALLENGED,No,CHALLENGED,"FrugalGPT, reject-option/selective-classification lineage, LLM routing literature; Exp1 explicitly bypasses the shipped cascade"
C3b,Two independently-tracked never-blended confidence signals,WEAK,No,WEAK,"Real but narrow distinction from Liu Gallego & Barbieri 2022 (B5-06); no blended-vs-unblended ablation ever run"
C4,LLM constrained to re-ranking only never auto-applied,PARTIALLY_SUPPORTED,No,PARTIALLY_SUPPORTED,"Candidates-only half CHALLENGED by RankGPT lineage; never-auto-applied half diffusely precedented; LLM excluded from Exp1 by design"
C5,Permanent T4->T1 promotion via human correction,WEAK,No,WEAK,"Real but narrow mechanism; no before/after measurement exists; Experiment 3 never run"
C6,Combined Part1+Part2 system as one contribution,WEAK,Indirectly (not reclassified),WEAK,"No B1-B5 baseline comparison ever run; Exp1's finding that ADS alone does not reliably predict mechanism ranking further weakens the untested premise, but does not change the WEAK status which was already evidentiary, not literature-based"
C7,Cross-company consistency threshold (R1),CHALLENGED,No,CHALLENGED,"Jorgensen & Igel 2021 report the same phenomenon in the same domain; Exp1 tests R3 not R1; subsumed into C2 per Phase C numbering"
C8,Romanian fiscal-document application domain,CASE_STUDY_ONLY,No,CASE_STUDY_ONLY,"Academic-niche novelty survives; no-comparable-vendor-practice sub-claim contradicted by B8-04 (Ken From Finance) and still uncorrected in TECHNICAL_REPORT.md Sec.5 (lines 289-291) as of this pass"
