"CitationID","Paper","Authors","Year","Venue","ResearchFamily","Problem","DecisionTiming","HistoricalEvidence","EvidenceSignal","DecisionTarget","ModelSelection","SystemComposition","HeterogeneousMechanisms","RuntimeRouting","DesignTimeSelection","HumanDeferral","ThresholdCalibration","Domain","ClosestADSComponent","OverlapType","OverlapStrength","KeyDifference","PotentialChallengeToContribution","EvidenceLocation","DOI_or_URL"
"B1-01","The Algorithm Selection Problem","J.R. Rice","1976","Advances in Computers, vol. 15","B1","Per-instance algorithm selection (abstract framework)","Runtime (per-instance)","No (theoretical framework)","Instance features","Single algorithm","Yes","No","No","Yes","No","No","N/A","General","Part 2 (loose)","Distant analogy","Low","Selects one algorithm per instance via an abstract feature mapping; no design-time whole-architecture choice, no historical determinism metric, no human loop.","Foundational vocabulary only; does not anticipate ADS's design-time whole-system architecture selection.","Abstract / introduction","10.1016/S0065-2458(08)60520-3"
"B1-02","SATzilla: Portfolio-based Algorithm Selection for SAT","Xu, Hutter, Hoos, Leyton-Brown","2008","JAIR","B1","Per-instance solver selection via predicted runtime","Runtime (selector design-time-trained)","Yes (solver performance history)","Predicted runtime/performance (empirical hardness model)","Single solver from a fixed portfolio","Yes","No","Yes (portfolio)","Yes","Partial (hardness models trained offline)","No","Learned","SAT solving (technique generalizes)","Part 2","Partial overlap","Medium","Predicts per-instance solver runtime via regression on instance features; not label-consistency, not a whole-architecture choice.","Shows historical-performance-driven runtime dispatch is old (2008); different measured quantity and use than ADS.","Abstract","10.1613/jair.2490"
"B1-03","Algorithm runtime prediction: Methods & evaluation","Hutter, Xu, Hoos, Leyton-Brown","2014","Artificial Intelligence, vol. 206","B1","Methodology/survey of empirical hardness models","Both (models built design-time, applied runtime)","Yes","Predicted runtime","Single algorithm (implicitly, via portfolio selection)","Yes","No","N/A","Yes","Yes","No","Learned","General (cross-domain methodology)","None","Distant analogy","Low","Predicts continuous runtime, not label-consistency; no architecture-selection step and no human-in-the-loop.","Minimal challenge -- different measured quantity and different use case.","Abstract","10.1016/j.artint.2013.10.003"
"B1-04","Algorithm Selection for Combinatorial Search Problems: A Survey","Lars Kotthoff","2014","AI Magazine, vol. 35(3)","B1","Survey of per-instance algorithm-selection systems","Runtime","Yes (discussed as common ingredient)","Instance features","Single algorithm per instance","Yes","No (occasionally portfolios)","Portfolios: yes; selection itself: no","Yes","Yes (as surveyed)","Not discussed as core feature","Mixed (per surveyed system)","General survey of a domain-specific area","Part 2 (loose)","Partial overlap","Low-Medium","Surveys per-instance selection among interchangeable solvers; never covers dataset-level design-time architecture-composition decisions.","Confirms per-instance algorithm-selection literature is mature and 10+ years old by 2014; different problem (solver pick vs. architecture pick).","Abstract; criteria section","10.1609/aimag.v35i3.2460"
"B1-05","Automated Algorithm Selection: Survey and Perspectives","Kerschke, Hoos, Neumann, Trautmann","2019","Evolutionary Computation, vol. 27(1)","B1","Comprehensive survey of algorithm-selection research","Runtime (selector design-time-trained)","Yes (central to most surveyed methods)","Instance features","Single algorithm from a candidate set","Yes","No (discusses portfolio/scheduling extensions)","Portfolios: yes; selection itself: no","Yes","Yes (design-time-built selectors)","Not a focus","Learned (ML-based selectors)","General (combinatorial + continuous optimization)","Part 2 (loose)","Partial overlap","Medium","Most authoritative recent survey of Rice's lineage; stays within per-instance single-algorithm selection, never addresses dataset-level whole-architecture decisions.","Definitive reference for distinguishing ADS Part 1 (whole-architecture selection) from per-instance algorithm selection; does not anticipate ADS's mechanism.","Abstract; Sections 2-4","10.1162/evco_a_00242"
"B2-01","Cross-disciplinary perspectives on meta-learning for algorithm selection","Kate Smith-Miles","2009","ACM Computing Surveys, vol. 41(1)","B2","Meta-learning unification of the algorithm selection problem","Runtime (recommendation) / design-time (meta-model)","Yes","Dataset meta-features","Single algorithm (or ranking) per problem instance","Yes","No","No","Yes","Yes (meta-model)","Not addressed","Learned (meta-model is itself an ML system)","General, explicitly cross-disciplinary","Part 2 (loose)","Partial overlap","Medium","Foundational unification of meta-learning with Rice 1976; stays at single-algorithm-per-instance recommendation, never proposes design-time dataset-level whole-architecture selection, a determinism metric, or human feedback.","The paper ADS-Cascade most needs to distinguish itself from conceptually -- distinguishing point (instance-level vs. whole-architecture) holds on close reading.","Abstract (quoted verbatim by search agent)","10.1145/1456650.1456656"
"B2-02","Eight years of AutoML: categorisation, review and trends","Barbudo, Ventura, Romero","2023","Knowledge and Information Systems, vol. 65(12)","B2","Systematic review of 447 AutoML studies (from 31,048 screened)","Design-time","Discussed as a component within surveyed systems","Cross-validated task performance (search-optimized)","Whole pipeline/workflow","Yes","Yes","Yes","No","Yes","Not the review's focus","Learned/optimized (search-based)","General (cross-domain review)","Part 1","Strong conceptual overlap","High","Documents the field's shift from single-algorithm selection to automated performance-optimized workflow-composition search; this is a black-box optimized search over configurations, not a historical-label-consistency-driven qualitative architecture decision.","STRONGEST terminological echo found: verbatim quote 'the algorithm selection problem has gradually been superseded by the challenge of workflow composition.' Must be explicitly engaged and distinguished in Related Work -- the mechanism (automated performance search vs. interpretable determinism threshold) and measured signal (task performance vs. label consistency) genuinely differ.","Abstract (verified verbatim quote)","10.1007/s10115-023-01935-1"
"B2-03","Auto-WEKA: Combined Selection and Hyperparameter Optimization of Classification Algorithms","Thornton, Hutter, Hoos, Leyton-Brown","2013","KDD '13","B2","CASH problem: combined algorithm selection + hyperparameter optimization","Design-time","No (per-dataset search only, no cross-dataset history in 2013 version)","Cross-validated performance","Algorithm + hyperparameters jointly","Yes","Shallow pipeline (feature selection + classifier)","Yes","No","Yes","No (explicitly framed as automating away manual tuning)","N/A (Bayesian optimization search)","General","Part 1 (loose)","Partial overlap","Medium","Design-time search optimizing cross-validated task performance via Bayesian search; not historical-label-consistency-driven, produces a (classifier, hyperparameters) pair not a qualitative architecture choice.","Coined the CASH problem; established that design-time automated configuration search is over a decade old (2013). Measures task performance, never label consistency, never chooses system architecture in ADS's sense.","Abstract; KDD 2023 Test-of-Time Award materials","10.1145/2487575.2487629"
"B2-04","Efficient and Robust Automated Machine Learning (Auto-sklearn)","Feurer, Klein, Eggensperger, Springenberg, Blum, Hutter","2015","NeurIPS 28","B2","Meta-learning-warm-started CASH + post-hoc ensembling","Design-time","Yes (140-dataset meta-feature/config corpus)","Cross-dataset meta-feature similarity","Algorithm(s) + hyperparameters + ensemble weights","Yes","Yes (pipeline + ensemble)","Yes","No","Yes","No","N/A (Bayesian optimization + meta-warm-start)","General","Part 1 (weak)","Partial overlap","Low-Medium","Historical evidence here is cross-dataset meta-feature similarity used to warm-start a performance-search process, not per-item label-consistency used to threshold a qualitative architecture choice.","Shows 'use historical data at design time to shape a design-time decision' is not novel in the abstract sense; measured quantity and decision granularity remain distinct from ADS Part 1.","Abstract; Section 3","(NeurIPS 2015 proceedings; no DOI in record)"
"B2-05","Meta-features for meta-learning","Rivolli, Garcia, Soares, Vanschoren, de Carvalho","2022","Knowledge-Based Systems, vol. 240","B2","Systematizes/standardizes the taxonomy of dataset-level meta-features","Design-time","Central (meta-features + historical algorithm performance)","Statistical / information-theoretic / model-based / landmarking meta-features","Algorithm and/or configuration","Yes","No","N/A","No","Yes","Not addressed","N/A (feature-engineering survey)","General (classification datasets broadly)","ADS metric itself (loose)","Partial overlap","Low-Medium","Catalogs dataset-level meta-features for algorithm recommendation; the full taxonomy contains nothing resembling ADS's specific per-item 'count of most common label / total occurrences' determinism score.","Establishes 'compute a summary statistic over historical data before choosing something' as a broad, well-established genus (meta-features), of which ADS's determinism score could be an uncatalogued species -- useful related-work context, not prior art anticipating the specific metric.","Abstract; full taxonomy sections","10.1016/j.knosys.2021.108101"
