Claim ID,Paper Section,Exact Claim,Value,Metric Definition,Source Artifact,Generating Script,Canonical?,Reproducible?,Production/Synthetic,Status,Notes
F01,Abstract,"mines 296,648 invoice lines from 169 companies'","296,648 lines / 169 companies",Row count / company count,reports/phase1_final_report.md §1,03_invoice_line_extraction.py (production run),Yes,No,Production,MATCH,Matches data_verification_audit.md row 14 and EVIDENCE_BASELINE.md §1. Same as C01.
F02,Abstract,91.2% of products are deterministic (ADS > 0.95) and cross-company agreement is only 0.695,91.2% / 0.695,Product-count fraction ADS>0.95; cross-company consistency score,reports/phase1_final_report.md §7,03_5_dataset_intelligence.py + 04_architecture_decision.py (production run),Yes,No,Production,MATCH,Matches data_verification_audit.md rows 1 and 3. Same as C02/C03.
F03,Abstract,Tier-1 deterministic lookup reaches 98.4% held-out accuracy at 42% coverage,98.4% @ 42%,Held-out cascade eval (63048 test lines),STATE.md Phase 2 section,p2_02_classify_eval.py (production run),Yes,No,Production,MATCH,Same as C04.
F04,Abstract,full cascade reaches 98.1% accuracy at 42.8% auto-apply coverage,98.1% @ 42.8%,Held-out cascade eval T1+T2,STATE.md Phase 2 section,p2_02_classify_eval.py (production run),Yes,No,Production,MATCH,Same as C05.
F05,§2.1,"Six idempotent... scripts turn 1,020 raw D406 XML filings across 201 inventoried companies (169 with usable invoice data)","1,020 files / 201 companies / 169 usable",Company/file inventory counts,reports/phase1_final_report.md §1,01_build_inventory.py (production run),Yes,No,Production,MATCH,Same as C08.
F06,§2.1,"100% validation pass rate on 1,020 files",100%,XML schema validation pass rate,reports/phase1_final_report.md §4,01_5_xml_normalization.py (production run),Yes,No,Production,MATCH,Independently re-checked against phase1_final_report.md §4 in this pass; not previously a distinct matrix row.
F07,§2.1,"Per-company chart of accounts (154,068 records, 201 companies)","154,068 / 201",GL account record count,reports/phase1_final_report.md §5,02_gl_account_extraction.py (production run),Yes,No,Production,MATCH,Same as C12.
F08,§2.1,"296,648 invoice lines, 47,306 normalized unique products, and 76,843 distinct (company, product) -> account mappings","296,648 / 47,306 / 76,843",Row/product/mapping counts,reports/phase1_final_report.md §6,03_invoice_line_extraction.py (production run),Yes,No,Production,MATCH,"76,843 confirmed canonical per research/mapping_count_provenance.md. Same as C09/C10."
F09,§2.1,line_amount and warehouse_id are 100% absent... vat_percent is missing on 4.05% of lines,100% / 100% / 4.05%,Field missingness,reports/phase1_final_report.md §6 Data Quality Summary,03_invoice_line_extraction.py (production run),Yes,No,Production,MATCH,Same as C11.
F10,§2.2,"Production measurement: unweighted 0.964, weighted 0.847 — a 0.117 gap",0.964 / 0.847 / 0.117,ADS aggregates,reports/phase1_final_report.md §7,03_5_dataset_intelligence.py (production run),Yes,No,Production,MATCH,"Same as C13. CAVEAT: EVIDENCE_BASELINE.md flags all three production ADS figures 'likely understated, unverified' because they were generated by the pre-A5-fix script version and cannot be regenerated here (no production data in repo). Not proven wrong -- just unverified. See Note 1 in EVIDENCE_BASELINE.md."
