ID,Claim,Paper Section,Claim Type,Source Artifact,Generating Script,Supporting File Path (this repo),Reproducible In This Repo?,Confidence,Notes / Contradictions
C01,"296,648 invoice lines mined from 169 companies' D406 filings",Abstract; §2.1; §3.1; §6,Production (confidential),phase1_final_report.md §1,03_invoice_line_extraction.py (production run),reports/phase1_final_report.md; data_verification_audit.md row 14,No — production-only. Methodology (script) is public and unmodified; the specific number requires confidential D406 XML input this repo does not contain.,High,"169-vs-201 is explained in the report itself (§2.1: ""201 inventoried companies (169 with usable invoice data)"") and matches data_verification_audit.md row 14. Not an open discrepancy in the paper text — only in STATE.md/ROADMAP.md's own phrasing of the question."
C02,"91.2% of products are deterministic (ADS > 0.95); 1.1% ambiguous (ADS < 0.50)",Abstract; §2.2; §2.3; §6,Production (confidential),phase1_final_report.md §7,03_5_dataset_intelligence.py (production run),reports/phase1_final_report.md; data_verification_audit.md rows 1-2,No — production-only number. Script is public; synthetic analogue (84.1%) IS reproducible, see C13.,High,Matches data_verification_audit.md exactly (43,156/47,306 = 91.2%; 526 products <0.50 = 1.1%).
C03,Cross-company agreement / consistency = 0.695 (measured over 2,696 multi-company products),Abstract; §2.3; §4; ADR-001,Production (confidential),phase1_final_report.md §7,03_5_dataset_intelligence.py (production run),reports/phase1_final_report.md; data_verification_audit.md row 3; architecture/DECISIONS.md ADR-001,No — production-only.,High,"data_verification_audit.md's own NOTE flags an internal contradiction: dataset_intelligence_report.md (production) reportedly said 0.7454 for ""Global Cross-Company Determinism"" while phase1_final_report.md says 0.695; phase1_final_report.md was designated authoritative ""per user directive"" with no stated methodological reason for the gap. The production dataset_intelligence_report.md is not in this public repo, so the discrepancy cannot be independently re-examined here. See C24 for the same pattern reproducing in the synthetic branch."
C04,"Tier-1 deterministic lookup: 98.4% accuracy at 42% coverage",Abstract; §3.1,Production (confidential),STATE.md Phase 2 section (held-out eval, 63,048 test lines, 80/20 split),p2_02_classify_eval.py (production run),STATE.md lines ~134-141,No — production-only. Script (scripts/phase2/p2_02_classify_eval.py) is public and unmodified; synthetic analogue is C25 (99.8%@76.2%).,High,Internally consistent between TECHNICAL_REPORT.md §3.1 and STATE.md's own record of the same eval run.
C05,"Full cascade auto-apply (T1+T2): 42.8% coverage at 98.1% accuracy; 57.2% routed to review",Abstract; §3.1; §6,Production (confidential),STATE.md Phase 2 section,p2_02_classify_eval.py (production run),STATE.md,No — production-only.,High,Consistent with STATE.md's own record.
C06,"Overall raw held-out accuracy 66.7%, explained as pessimistic-by-construction (~1/3 of test lines cold-start)",§3.1,Production (confidential),STATE.md Phase 2 section,p2_02_classify_eval.py (production run),STATE.md,No — production-only.,Medium,"66.7% is stated but not restated as a headline number, consistent with the report's own framing. No public artifact lets a third party re-derive the ""~third of lines are cold"" claim independently."
C07,"End-to-end 10-receipt cold-start trace: before retrieval bridge 0 auto / 8 Tier-3 / 14 Tier-4; after bridge 14 of 22 lines gain a Tier-3 candidate, 2 remain genuinely novel",§2.4; §3.1,Production (confidential),STATE.md Phase 2 section (""Stage B3 + Stage C"" and ""retrieval bridge"" entries),p2_05_end_to_end.py (production run, 10 real receipts),STATE.md,"No — production-only (real photographed receipts, not in this repo).",High,"This repo's own e2e run uses 5 synthetic receipts (data/outputs/phase2/textract_raw/synth-receipt-01..05, e2e_classification.csv has 9 data rows), not the 10 real ones the report describes here — correctly labeled ""cited, not reproduced"" in §3.1."
C08,"1,020 raw D406 XML filings across 201 inventoried companies, 169 with usable invoice data",§2.1,Production (confidential),phase1_final_report.md §1 & §3,01_build_inventory.py / 01_5_xml_normalization.py (production run),reports/phase1_final_report.md,No — production-only.,High,Matches data_verification_audit.md rows 14 and the "Numbers Confirmed Correct" table (201 companies; 1,020 XML files).
C09,"47,306 normalized unique products (62,447 raw)",§2.1,Production (confidential),phase1_final_report.md §6,03_invoice_line_extraction.py (production run),reports/phase1_final_report.md; data_verification_audit.md row 16,No — production-only.,High,Consistent across phase1_final_report.md and data_verification_audit.md.
C10,"76,843 distinct (company, product) → account mappings",§2.1; README.md; ADR-003; ADR-004,Production (confidential),"phase1_final_report.md §6 (""The product account mapping table contains 76,843 unique (company, product, account) tuples"")",03_invoice_line_extraction.py (production run),reports/phase1_final_report.md,No — production-only.,High,"ROADMAP.md/STATE.md flag ""76,843-vs-~55,394"" as an open discrepancy to resolve. 76,843 is well-attested: it appears identically in phase1_final_report.md §6, TECHNICAL_REPORT.md §2.1, README.md's results table, and ADR-003/ADR-004 in architecture/DECISIONS.md. ~55,394 does NOT appear anywhere in this repository's current files or in the full git history of any branch/commit (checked via `git log --all -p` across all 8 commits). Its source cannot be traced from this repository — see Audit finding A2 and Question F1."
