"CitationID","Paper","Authors","Year","Venue","DOI_or_URL","Mechanism","ConstraintType","DecisionAuthority","Domain","EquivalenceToADSCascadeConstraint","KeyNotes","VerificationMethod"
"G2-01","Is ChatGPT Good at Search? Investigating Large Language Models as Re-Ranking Agents","Sun, Yan, Ma, et al.","2023","EMNLP 2023 (ACL Anthology)","10.18653/v1/2023.emnlp-main.923","GPT-3.5/GPT-4 given a query plus a fixed candidate list already produced by a first-stage retriever (BM25/dense retrieval); the LLM outputs a reordered permutation of that list. It never generates or selects candidates outside the supplied set.","Reranking-only","Hybrid -- LLM output is the ranking used by the downstream IR system directly (not human-gated); no deferral to a human built into the method itself","Web/passage search (TREC, BEIR, NovelEval)","Analogous -- matches the 'reranks already-retrieved candidates only, never classifies from blank input' half of the constraint exactly, and is the direct methodological ancestor of ADS-Cascade's T3 mechanism. Does NOT match the 'output never auto-applied, always routed to human' half -- RankGPT's output is auto-applied as the final ranking.","Founding paper (RankGPT) of a very large sub-literature (dozens of direct descendants) establishing LLM-constrained-to-reranking as thoroughly standard IR practice. 590 citations.","DOI resolved via FastTrack/OpenAlex, cross-confirmed by Consensus (citation count) and independent search."
"G2-02","Zero-Shot Listwise Document Reranking with a Large Language Model","Ma, Zhang, Pradeep, Lin","2023","arXiv preprint","10.48550/arxiv.2305.02156","'LRL': LLM given a fixed candidate document set from a first-stage retriever and generates a reordered list of document IDs; explicitly contrasted with pointwise methods that also require a pre-existing candidate pool.","Reranking-only","LLM/system has final authority (ranking used directly); no human gate","Web search, multilingual retrieval (MIRACL)","Analogous -- candidates-only constraint present; no-auto-apply/human-review constraint absent.","Reinforces that 'LLM sees only pre-filtered candidates' is baseline design in this literature, not a novel restriction.","OpenAlex/FastTrack record; abstract confirms methodology."
"G2-03","Large Language Models are Effective Text Rankers with Pairwise Ranking Prompting","Qin, Jagerman, Hui, et al.","2024","Findings of ACL: NAACL 2024","10.18653/v1/2024.findings-naacl.97","LLM compares pairs of already-retrieved candidates to produce a ranking; strictly reranking over a supplied set.","Reranking-only","LLM/system has final authority","Web search benchmarks","Analogous (candidates-only mechanism only).","One of dozens of 'LLM listwise/pairwise reranker' variants (RankZephyr, RankVicuna, FIRST, ListT5, PE-Rank, REARANK, etc.) -- the mechanism itself is commodity technique by 2023-2025.","OpenAlex/FastTrack record, DOI resolves."
"G2-04","Fine-Tuning LLaMA for Multi-Stage Text Retrieval","Ma, Wang, Yang, et al.","2024","SIGIR 2024","10.1145/3626772.3657951","RepLLaMA (retriever) + RankLLaMA (pointwise reranker), the latter scoring only candidates passed from the retrieval stage.","Reranking-only","LLM/system has final authority","Passage/document retrieval (MS MARCO, BEIR)","Analogous.","Confirms the 'retrieve-then-LLM-rerank' pipeline is the dominant IR paradigm, not an ADS-Cascade innovation.","OpenAlex/FastTrack record."
"G2-05","Architecting Human-AI Systems for Effective Collaboration and Oversight: Making Sense of Human/AI-in/on/Over/Under/Along-the-Loop","Singh, Szajnfarber","2025","Systems Engineering, 29(2):337-353","10.1002/sys.70024","Formal taxonomy distinguishing 'human approver' architectures (system presents a planned action; cannot act without approval) from 'human selector' architectures (human picks from a filtered/narrowed list of possible actions -- explicitly likened to route suggestions).","Requires-human-confirmation (their 'human approver'/'human selector' categories)","Human has final authority (by construction of the category)","General -- synthesizes human-machine/human-computer/human-robot interaction literature across domains","Analogous -- closest single terminological match found for the 'human must confirm, AI proposes/filters' half of the constraint. Their 'human selector from a filtered list' is structurally identical to ADS-Cascade routing filtered/reranked candidates to a human. Does not discuss LLMs, reranking, or a deterministic-cascade context, and does not combine this with the 'never given blank-slate classification' restriction.","2025 taxonomy explicitly built to clean up inconsistent 'human-in/on/over-the-loop' terminology -- its existence and stated motivation is itself evidence the field lacks one settled name for ADS-Cascade's exact configuration.","get_paper DOI lookup confirmed via OpenAlex; abstract and taxonomy text retrieved via Scholar Gateway full-text passages."
"G2-06","Human at the Center: A Framework for Human-Driven AI Development","Hu, Navas, Gaube, Mozannar, Taylor, Dvijotham, Bondi-Kelly","2025","AI Magazine, 46(4)","10.1002/aaai.70043","Defines four human-AI design modes; Mode 1 'AI Supports Human Decisions': AI generates predictions/recommendations/insights to aid human decision making, but the human is accountable for the final decision -- AI always defers final judgment to humans. Mode 2 'AI Decides Unless Uncertain' separately covers confidence-triggered deferral/abstention.","Recommendation-only (Mode 1), plus abstention/deferral-on-uncertainty (Mode 2, adjacent)","Human has final authority (in Mode 1, by definition)","General human-AI system design (healthcare, hiring, criminal justice examples cited)","Analogous -- a named, citable formalization of 'AI recommends, human decides, always,' precisely ADS-Cascade's stated authority split, but as a general design mode, not tied to LLM reranking-of-candidates or a deterministic-cascade architecture.","Co-authored by Hussein Mozannar, a lead author of the learning-to-defer literature (see G2-08) -- this paper is where the L2D and decision-support literatures converge on shared terminology.","Full text retrieved via Scholar Gateway; OpenAlex venue/DOI cross-checked."
"G2-07","Algorithmic Decision-Making Safeguarded by Human Knowledge","Chen, Hu, Li","2026","Naval Research Logistics","10.1002/nav.70052","Proposes a 'guardrail/clipping' model where a human analyst can only cap or floor an algorithmic output if it appears unreasonable -- a restricted, bounded form of human override, explicitly contrasted against the learning-to-defer literature where a full decision is substituted.","Other (bounded-override, distinct from both pure recommendation and full deferral)","Hybrid (algorithm decides by default; human intervention structurally limited to clipping, not full override)","Business analytics (demand forecasting, pricing)","Distinct -- mechanism (numeric clipping) is not the same shape as ADS-Cascade's candidate-reranking-plus-human-review.","Valuable primarily as a 2026 literature map confirming 'learning to defer' is the standard academic home for this general problem class (cites Madras et al. 2018, Mozannar and Sontag 2020, Bansal et al. 2019/2021, Wilder et al. 2021, Keswani et al. 2021, Donahue et al. 2022, Rastogi et al. 2022, Raghu et al. 2019).","get_paper DOI lookup confirmed via OpenAlex."
"G2-08","Consistent Estimators for Learning to Defer to an Expert","Mozannar, Sontag","2020","arXiv preprint (ICML 2020)","10.48550/arxiv.2006.01862","Model jointly learns a classifier and a 'rejector' deciding, per instance, whether the model predicts or defers to a human expert -- direct methodological successor to Madras, Pitassi and Zemel's original learning-to-defer formulation.","Deferral-to-deterministic-mechanism (the rejector is the deterministic gate)","Hybrid -- model decides confidently, human decides otherwise","General classification (child welfare screening, radiology in follow-on work)","Analogous -- canonical academic name for 'confidence/determinism gates whether a model or a human handles the case,' structurally the same idea underlying ADS-Cascade's tier-routing logic, though L2D papers train a joint deferral policy rather than using a pre-set determinism metric, and L2D's 'defer' branch hands the full task to a human rather than a reranked candidate list.","Also catalogued as B5-02 in the main literature matrix; spawned a large sub-field (Keswani et al. 2021, Hemmer et al. 2023, Alves et al. 2025 OpenL2D/FiFAR, Lykouris and Weng 2024) -- the standard term of art a reviewer would expect ADS-Cascade positioned against.","OpenAlex/FastTrack record."
"G2-09","Trustworthy and Practical AI for Healthcare: A Guided Deferral System with Large Language Models","Strong, Men, Noble","2025","AAAI 2025 (also arXiv:2406.07212)","10.1609/aaai.v39i27.35063","An LLM parses medical reports for disorder classification and, using a 'guided deferral' mechanism, defers uncertain predictions to humans with intelligent guidance rather than a blank accept/reject.","Deferral-to-deterministic-mechanism / abstention","Hybrid (LLM decides confidently, defers uncertain cases to human)","Healthcare (medical report classification)","Analogous -- closest single paper found that combines 'LLM' + 'classification task' + 'confidence-triggered deferral to human.' Does not involve reranking of pre-retrieved candidates (its LLM classifies directly rather than reordering a rules-layer's shortlist), so the 'never given blank-slate classification' leg of ADS-Cascade's constraint is absent here.","Strongest single LLM-specific analog found for the deferral half, but architecturally simpler than ADS-Cascade (no upstream retrieval/candidate-generation layer constraining the LLM's input).","OpenAlex/FastTrack record (DOI and venue present); duplicate arXiv preprint independently found."
"G2-10","Learning to Defer in Congested Systems: The AI-Human Interplay","Lykouris, Weng","2024","arXiv preprint","10.48550/arxiv.2402.12237","Models content moderation as an AI-human pipeline: AI makes classification and admission (send-to-human) decisions; humans review admitted items and can overturn erroneous AI classifications; reviews are also training data.","Deferral-to-deterministic-mechanism (admission thresholding) + requires-human-confirmation for admitted items","Hybrid -- AI auto-decides low-risk items, human has final say on admitted (uncertain/high-risk) items","Content moderation","Analogous -- closely mirrors ADS-Cascade's tiered structure (deterministic layer routes by confidence; uncertain cases get human review), but the AI here is a risk classifier making a direct decision, not an LLM constrained to reranking pre-fetched candidates, and the AI is explicitly permitted to auto-delete content without human review at high confidence -- unlike ADS-Cascade's 'always routes to human review' invariant for its LLM tier.","Strong structural analog for the cascade-with-confidence-routing shape, weak analog for the specific 'never auto-applied' invariant.","OpenAlex/FastTrack record."
